,JPEIGLSP Index,BRL Curncy,CAD Curncy,AUD Curncy,DXY Index
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
Date,,,1.2347,0.7497,93.7
2021-10-20,322.75,5.5684,1.2363,0.7474,93.734
2021-10-19,322.75,5.5847,1.2379,0.7411,93.953
2021-10-18,328.24,5.5127,1.2368,0.7421,93.937
2021-10-15,325.05,5.4608,1.237,0.7416,93.956
2021-10-14,330.46,5.5126,1.2443,0.7379,94.08
2021-10-13,331.29,5.5166,1.2468,0.735,94.516
2021-10-12,332.29,5.5385,1.2483,0.7351,94.316
2021-10-11,326.43,5.5385,1.2472,0.7309,94.067
2021-10-08,326.43,5.5086,1.2551,0.7312,94.217
2021-10-07,325.87,5.5188,1.259,0.7272,94.266
2021-10-06,333,5.4934,1.2583,0.7292,93.975
2021-10-05,328.44,5.4757,1.2589,0.7281,93.776
2021-10-04,330.18,5.4553,1.2648,0.7258,94.035
2021-10-01,329.88,5.3645,1.268,0.7227,94.23
2021-09-30,324.37,5.443,1.2757,0.7176,94.338
2021-09-29,321.49,5.4146,1.2687,0.7236,93.766
2021-09-28,323.03,5.43,1.2628,0.7286,93.383
2021-09-27,322.33,5.3911,1.2652,0.7262,93.327
2021-09-24,319.92,5.3355,1.2655,0.7295,93.085
2021-09-23,317.34,5.3033,1.2772,0.7247,93.462
2021-09-22,321.83,5.2899,1.282,0.7231,93.204
2021-09-21,320.63,5.2726,1.2822,0.7252,93.276
2021-09-20,322.44,5.3245,1.2764,0.7265,93.195
2021-09-17,311.79,5.2893,1.2683,0.7292,92.932
2021-09-16,312.16,5.259,1.263,0.7333,92.548
2021-09-15,312.26,5.2229,1.2694,0.732,92.623
2021-09-14,315.48,5.2402,1.2648,0.7369,92.675
2021-09-13,312.15,5.2157,1.2692,0.7356,92.582
2021-09-10,310.37,5.2468,1.2664,0.7368,92.479
2021-09-09,313.56,5.2045,1.2691,0.7365,92.653
2021-09-08,310.38,5.3205,1.2647,0.7386,92.512
2021-09-07,307.26,5.1701,1.2534,0.7439,92.035
2021-09-06,310.36,5.1701,1.2524,0.746,92.035
2021-09-03,310.36,5.1926,1.2553,0.74,92.225
2021-09-02,312.75,5.1842,1.262,0.7366,92.449
2021-09-01,312.89,5.1867,1.2616,0.7316,92.626
2021-08-31,313.01,5.1512,1.2606,0.7296,92.653
2021-08-30,316.43,5.1848,1.262,0.7312,92.686
2021-08-27,317.14,5.2046,1.2687,0.7237,93.062
2021-08-26,316.43,5.2572,1.2591,0.7276,92.825
2021-08-25,314.29,5.2149,1.2589,0.7258,92.893
2021-08-24,318.87,5.2476,1.2654,0.7209,92.958
2021-08-23,323.69,5.3806,1.2821,0.7132,93.496
2021-08-20,324,5.3807,1.2828,0.7147,93.568
2021-08-19,325.36,5.415,1.2658,0.7232,93.136
2021-08-18,322.99,5.3878,1.2629,0.7253,93.13
2021-08-17,322.89,5.2957,1.2574,0.7338,92.628
2021-08-16,323.49,5.2602,1.2515,0.737,92.518
2021-08-13,321.68,5.2486,1.2526,0.7335,93.035
2021-08-12,317.13,5.2532,1.2504,0.7374,92.922
2021-08-11,319.78,5.2205,1.252,0.735,93.055
2021-08-10,318.52,5.1903,1.2577,0.7333,92.945
2021-08-09,319.32,5.2352,1.2554,0.7356,92.8
2021-08-06,319.39,5.2327,1.2506,0.7405,92.244
2021-08-05,322.93,5.2487,1.254,0.7379,92.27
2021-08-04,325.84,5.1694,1.2539,0.7396,92.081
2021-08-03,326.43,5.1976,1.251,0.7361,92.048
2021-08-02,327.44,5.1738,1.2475,0.7344,92.174
2021-07-30,325.02,5.2115,1.2448,0.7396,91.864
2021-07-29,327.72,5.0811,1.2528,0.7376,92.322
2021-07-28,329.53,5.117,1.2602,0.7362,92.432
2021-07-27,330.56,5.1713,1.2551,0.7385,92.649
2021-07-26,325.63,5.1778,1.2564,0.7366,92.912
2021-07-23,324.9,5.2001,1.2563,0.7379,92.822
2021-07-22,326.97,5.2017,1.2556,0.7359,92.754
2021-07-21,324.36,5.188,1.2682,0.733,92.973
2021-07-20,328.51,5.2217,1.275,0.7344,92.891
2021-07-19,331.83,5.2519,1.2613,0.7401,92.687
2021-07-16,321.6,5.1152,1.2595,0.7423,92.624
2021-07-15,323.17,5.1116,1.2509,0.7481,92.41
2021-07-14,320.58,5.0727,1.2513,0.7447,92.752
2021-07-13,316.54,5.1634,1.2453,0.7476,92.261
2021-07-12,319.15,5.1734,1.2447,0.7488,92.13
2021-07-09,319.96,5.2598,1.2534,0.7429,92.417
2021-07-08,324.91,5.2599,1.2481,0.7487,92.644
2021-07-07,321.74,5.232,1.2461,0.7497,92.546
2021-07-06,320.87,5.1997,1.2342,0.753,92.212
2021-07-05,316.04,5.0953,1.2322,0.7526,92.226
2021-07-02,316.04,5.0589,1.2437,0.747,92.597
2021-07-01,311.47,5.0493,1.2398,0.7498,92.436
2021-06-30,312.5,4.969,1.2401,0.7512,92.049
2021-06-29,311.58,4.9566,1.2337,0.7567,91.887
2021-06-28,310.46,4.9266,1.2292,0.759,91.851
2021-06-25,305.87,4.9341,1.2324,0.7583,91.814
2021-06-24,309.21,4.9143,1.2306,0.7575,91.802
2021-06-23,308.72,4.9667,1.2306,0.7554,91.756
2021-06-22,311.18,4.9586,1.2363,0.7535,91.899
2021-06-21,307.35,5.0147,1.2465,0.7479,92.225
2021-06-18,310.99,5.0901,1.2358,0.7552,91.889
2021-06-17,309.33,5.009,1.2277,0.761,91.129
2021-06-16,303.41,5.0559,1.2184,0.7687,90.536
2021-06-15,306.8,5.0463,1.2144,0.7712,90.522
2021-06-14,303.27,5.0623,1.2158,0.7708,90.555
2021-06-11,303.69,5.1181,1.2096,0.7754,90.075
2021-06-10,307.47,5.0571,1.2111,0.7731,90.12
2021-06-09,305.33,5.0629,1.2111,0.7742,90.076
2021-06-08,306.69,5.0346,1.2082,0.7754,89.95
2021-06-07,307,5.0459,1.2084,0.7739,90.136
2021-06-04,307.95,5.0492,1.2107,0.7658,90.512
2021-06-03,304.43,5.0762,1.2035,0.7754,89.909
2021-06-02,304.49,5.0762,1.2071,0.7754,89.831
2021-06-01,305.02,5.1512,1.2064,0.7734,89.829
2021-05-31,306.69,5.2191,1.2076,0.7712,90.031
2021-05-28,306.69,5.2255,1.2066,0.7747,89.971
2021-05-27,307.07,5.2387,1.2123,0.7743,90.042
2021-05-26,308.48,5.312,1.2067,0.7751,89.639
2021-05-25,311.74,5.332,1.2044,0.7752,89.844
2021-05-24,310.03,5.3185,1.2066,0.7732,90.017
2021-05-21,308.15,5.3662,1.2061,0.7776,89.808
2021-05-20,309.06,5.2846,1.2133,0.7728,90.191
2021-05-19,305.13,5.3105,1.2066,0.7792,89.75
2021-05-18,305.04,5.2613,1.2068,0.7764,90.164
2021-05-17,305.99,5.2751,1.2104,0.7771,90.321
2021-05-14,307.71,5.2728,1.2162,0.773,90.752
2021-05-13,309.26,5.3087,1.2134,0.7725,90.713
2021-05-12,305.91,5.307,1.2102,0.7842,90.141
2021-05-11,307.28,5.2213,1.2102,0.783,90.212
2021-05-10,305.85,5.2283,1.2133,0.7844,90.233
2021-05-07,309.54,5.2369,1.2149,0.7782,90.951
2021-05-06,314.98,5.2761,1.2267,0.7747,91.308
2021-05-05,316.64,5.3551,1.2309,0.7707,91.288
2021-05-04,316.09,5.4428,1.2279,0.7763,90.945
2021-05-03,315.1,5.4423,1.2287,0.7716,91.28
2021-04-30,312.97,5.4381,1.2283,0.7766,90.614
2021-04-29,315.33,5.3393,1.2314,0.7791,90.609
2021-04-28,318.02,5.3444,1.2399,0.7765,90.909
2021-04-27,314.77,5.4514,1.2398,0.78,90.807
2021-04-26,316.65,5.4358,1.2476,0.7739,90.859
2021-04-23,314.47,5.4764,1.2507,0.7707,91.333
2021-04-22,315.59,5.4469,1.2497,0.7754,91.155
2021-04-21,315.49,5.5698,1.2609,0.7726,91.241
2021-04-20,315.32,5.5675,1.2535,0.7759,91.069
2021-04-19,308.73,5.549,1.2508,0.7734,91.556
2021-04-16,312.14,5.588,1.2543,0.7752,91.671
2021-04-15,318.22,5.6156,1.2521,0.7728,91.69
2021-04-14,315.55,5.6533,1.2535,0.7641,91.852
2021-04-13,320.13,5.7174,1.2563,0.7623,92.138
2021-04-12,315.87,5.7344,1.253,0.7623,92.163
2021-04-09,319.5,5.6821,1.2562,0.7653,92.059
2021-04-08,321.81,5.5714,1.2609,0.7614,92.455
2021-04-07,320.29,5.6161,1.2566,0.7664,92.335
2021-04-06,322.58,5.5923,1.2525,0.7651,92.595
2021-04-05,320.76,5.6663,1.2578,0.761,93.022
2021-04-02,324.19,5.7102,1.2548,0.7617,92.929
2021-04-01,324.19,5.7102,1.2562,0.7598,93.232
2021-03-31,323.94,5.6344,1.2634,0.7597,93.297
2021-03-30,329.08,5.7751,1.2591,0.7633,92.944
2021-03-29,322.16,5.7829,1.2577,0.7637,92.766
2021-03-26,325.6,5.7565,1.2613,0.758,92.848
2021-03-25,327.03,5.6476,1.2579,0.7582,92.528
2021-03-24,326.66,5.6227,1.2588,0.7624,92.336
2021-03-23,324.23,5.5213,1.2522,0.7746,91.742
2021-03-22,321.68,5.5044,1.25,0.7742,91.919
2021-03-19,315.64,5.491,1.2487,0.7759,91.862
2021-03-18,318.01,5.5617,1.2405,0.7798,91.442
2021-03-17,322.62,5.5879,1.2448,0.7746,91.865
2021-03-16,320.44,5.625,1.2472,0.7755,91.833
2021-03-15,326.78,5.6174,1.2475,0.7764,91.679
2021-03-12,326.17,5.5552,1.2533,0.779,91.42
2021-03-11,328.51,5.5396,1.2618,0.7736,91.823
2021-03-10,338.46,5.6721,1.2638,0.7714,91.958
2021-03-09,341.93,5.8053,1.2665,0.765,92.313
2021-03-08,340.72,5.8169,1.2659,0.7686,91.977
2021-03-05,332.48,5.6838,1.2667,0.7726,91.631
2021-03-04,322.43,5.6688,1.2655,0.7775,90.947
2021-03-03,323.9,5.6232,1.2635,0.782,90.785
2021-03-02,325.02,5.6645,1.2646,0.7772,91.039
2021-03-01,322.54,5.6347,1.2738,0.7706,90.879
2021-02-26,328.72,5.6023,1.2603,0.7873,90.134
2021-02-25,318.13,5.5197,1.2513,0.7968,90.176
2021-02-24,319.46,5.4156,1.2587,0.7911,90.169
2021-02-23,321.48,5.4411,1.2615,0.7916,90.01
2021-02-22,319.04,5.4591,1.2615,0.7869,90.364
2021-02-19,314.28,5.3872,1.2679,0.7768,90.592
2021-02-18,316.11,5.4317,1.2702,0.7751,90.951
2021-02-17,317.34,5.4129,1.269,0.7758,90.509
2021-02-16,314.14,5.3779,1.2639,0.7781,90.48
2021-02-15,312.09,5.3779,1.2696,0.7761,90.48
2021-02-12,312.09,5.3779,1.2705,0.7752,90.417
2021-02-11,313.99,5.3852,1.2701,0.7722,90.371
2021-02-10,316.74,5.3842,1.2693,0.7739,90.439
2021-02-09,315.27,5.3825,1.2739,0.7702,90.934
2021-02-08,314.21,5.3575,1.2756,0.7678,91.042
2021-02-05,311.28,5.3778,1.2827,0.76,91.529
2021-02-04,317.6,5.432,1.2786,0.7618,91.171
2021-02-03,319.21,5.378,1.2781,0.7607,91.197
2021-02-02,321.36,5.3593,1.2851,0.7621,90.98
2021-02-01,325.23,5.4454,1.2777,0.7644,90.584
2021-01-29,324.24,5.4715,1.283,0.7683,90.455
2021-01-28,329.59,5.4406,1.2799,0.7663,90.647
2021-01-27,332.49,5.4112,1.2694,0.7747,90.17
2021-01-26,329.65,5.3523,1.274,0.7713,90.391
2021-01-25,330.19,5.4672,1.2733,0.7715,90.238
2021-01-22,327.31,5.4705,1.2637,0.7764,90.131
2021-01-21,325.69,5.3598,1.2636,0.7747,90.475
2021-01-20,328.54,5.308,1.2735,0.7695,90.498
2021-01-19,329.47,5.3534,1.2757,0.7681,90.765
2021-01-18,329.31,5.2969,1.2732,0.7703,90.772
2021-01-15,329.31,5.2992,1.264,0.7778,90.239
2021-01-14,324.54,5.2039,1.2698,0.7733,90.355
2021-01-13,329.16,5.3075,1.2711,0.7772,90.093
2021-01-12,327.76,5.3208,1.2784,0.7697,90.465
2021-01-11,320.43,5.5048,1.2702,0.7757,90.098
2021-01-08,317.27,5.4205,1.2691,0.7769,89.826
2021-01-07,320.43,5.4014,1.2677,0.7802,89.53
2021-01-06,321.31,5.3023,1.2669,0.7759,89.436
2021-01-05,323.67,5.2766,1.2778,0.7665,89.869
2021-01-04,323.33,5.2719,1.2728,0.7694,89.937
2021-01-01,322.97,5.1935,1.2725,0.7694,89.937
2020-12-31,322.97,5.1935,1.2758,0.7686,89.68
2020-12-30,326.39,5.1926,1.2818,0.7606,89.994
2020-12-29,326.43,5.2046,1.2854,0.7579,90.337
2020-12-28,327.87,5.2466,1.2865,0.7605,90.223
2020-12-25,328.61,5.2166,1.2863,0.7597,90.323
2020-12-24,328.61,5.2166,1.2848,0.7575,90.413
2020-12-23,327.03,5.2058,1.2908,0.7523,90.654
2020-12-22,330.45,5.1628,1.2857,0.7587,90.043
2020-12-21,328.94,5.1269,1.2788,0.7622,90.016
2020-12-18,325.59,5.0838,1.272,0.7622,89.822
2020-12-17,327.39,5.0659,1.2743,0.7577,90.45
2020-12-16,331.42,5.0858,1.2701,0.7559,90.473
2020-12-15,333.31,5.0828,1.2764,0.7535,90.711
2020-12-14,337.22,5.1164,1.2769,0.7533,90.976
2020-12-11,338.75,5.061,1.2739,0.7535,90.824
2020-12-10,338.96,5.019,1.2816,0.7447,91.087
2020-12-09,337,5.1684,1.2819,0.7411,90.965
2020-12-08,338.57,5.1193,1.2798,0.7421,90.792
2020-12-07,336.2,5.1075,1.2784,0.7425,90.701
2020-12-04,331.48,5.1298,1.2862,0.7439,90.714
2020-12-03,337.97,5.1585,1.2918,0.7416,91.118
2020-12-02,338.91,5.2315,1.2936,0.7371,91.313
2020-12-01,341.19,5.2184,1.3001,0.7344,91.869
2020-11-30,350.19,5.3583,1.2989,0.7387,91.79
2020-11-27,349.24,5.3369,1.3017,0.7362,91.994
2020-11-26,346.86,5.3323,1.3007,0.7365,91.994
2020-11-25,346.86,5.3169,1.2998,0.7361,92.226
2020-11-24,346.74,5.375,1.3082,0.7286,92.505
2020-11-23,349.89,5.4341,1.3095,0.7302,92.392
2020-11-20,351.41,5.3892,1.3073,0.7288,92.294
2020-11-19,350.95,5.3091,1.3081,0.7305,92.316
2020-11-18,348.64,5.3632,1.3105,0.7301,92.416
2020-11-17,350.51,5.3244,1.3074,0.732,92.642
2020-11-16,345.15,5.4303,1.3137,0.727,92.755
2020-11-13,347.71,5.4625,1.3141,0.7232,92.963
2020-11-12,348.97,5.4584,1.3063,0.7281,93.043
2020-11-11,346.75,5.4001,1.3033,0.7284,92.749
2020-11-10,346.75,5.412,1.3007,0.7284,92.725
2020-11-09,344.58,5.3813,1.305,0.7258,92.229
2020-11-06,366.38,5.3775,1.3045,0.7283,92.525
2020-11-05,367.72,5.5397,1.3136,0.7182,93.407
2020-11-04,379.43,5.6656,1.3144,0.7164,93.553
2020-11-03,381.89,5.752,1.3217,0.7055,94.129
2020-11-02,389.79,5.7444,1.3321,0.7028,94.038
2020-10-30,387.98,5.7444,1.3325,0.7029,93.955
2020-10-29,388.57,5.7793,1.3323,0.7045,93.405
2020-10-28,389.99,5.7502,1.3185,0.7129,92.94
2020-10-27,385.4,5.7064,1.3212,0.7123,93.045
2020-10-26,385.9,5.6244,1.3125,0.7139,92.768
2020-10-23,381.52,5.6196,1.3136,0.7118,92.951
2020-10-22,379.35,5.5927,1.3146,0.7117,92.611
2020-10-21,379.5,5.606,1.3129,0.7048,93.067
2020-10-20,377.4,5.6061,1.3192,0.7074,93.427
2020-10-19,376.99,5.6091,1.3189,0.7081,93.682
2020-10-16,377.12,5.646,1.3221,0.7094,93.856
2020-10-15,379.43,5.614,1.3146,0.7162,93.382
2020-10-14,378.08,5.5926,1.3139,0.7161,93.531
2020-10-13,376.14,5.5706,1.3114,0.7209,93.065
2020-10-12,373.91,5.5322,1.3121,0.724,93.057
2020-10-09,373.91,5.5322,1.3196,0.7165,93.605
2020-10-08,379.26,5.5996,1.3256,0.7139,93.63
2020-10-07,382.65,5.6113,1.3312,0.7102,93.686
2020-10-06,387.97,5.594,1.3263,0.7181,93.513
2020-10-05,387.82,5.5781,1.3308,0.7161,93.844
2020-10-02,397.05,5.6845,1.3289,0.7185,93.711
2020-10-01,397.51,5.648,1.3319,0.7162,93.886
2020-09-30,398.15,5.6103,1.3388,0.713,93.891
2020-09-29,405.7,5.6348,1.337,0.7071,94.278
2020-09-28,403.55,5.6613,1.3386,0.7031,94.642
2020-09-25,405.25,5.5627,1.3362,0.7047,94.354
2020-09-24,408.98,5.51,1.3386,0.7072,94.389
2020-09-23,404.53,5.5959,1.3304,0.7171,93.988
2020-09-22,398.4,5.4721,1.3308,0.7224,93.656
2020-09-21,393.58,5.4146,1.3204,0.7289,92.926
2020-09-18,380.1,5.3899,1.3167,0.7313,92.97
2020-09-17,378.3,5.2396,1.3178,0.7306,93.214
2020-09-16,372.71,5.2375,1.3186,0.7302,93.05
2020-09-15,372.12,5.2771,1.3176,0.7288,93.052
2020-09-14,374.97,5.2723,1.3179,0.7284,93.333
2020-09-11,373.79,5.3193,1.3192,0.7258,93.336
2020-09-10,371.5,5.3194,1.3146,0.7283,93.255
2020-09-09,381.08,5.3077,1.3236,0.7214,93.445
2020-09-08,382.48,5.3625,1.3098,0.7277,92.719
2020-09-07,374.79,5.3018,1.3062,0.7282,92.719
2020-09-04,374.79,5.3018,1.3128,0.7273,92.739
2020-09-03,379.31,5.2921,1.3045,0.7338,92.847
2020-09-02,375.36,5.3424,1.3064,0.7372,92.338
2020-09-01,379.71,5.3955,1.3047,0.7376,92.144
2020-08-31,385.35,5.4937,1.3099,0.7365,92.371
2020-08-28,382.53,5.3893,1.3128,0.7259,93.001
2020-08-27,380.96,5.5695,1.3143,0.7233,93.006
2020-08-26,384.5,5.6104,1.3173,0.7195,93.019
2020-08-25,383.11,5.5092,1.3218,0.7163,93.298
2020-08-24,382.27,5.6117,1.3177,0.7161,93.247
2020-08-21,385.7,5.621,1.3186,0.7192,92.793
2020-08-20,386.91,5.5591,1.3216,0.7182,92.887
2020-08-19,381.15,5.5566,1.3168,0.7243,92.271
2020-08-18,385.04,5.4677,1.3215,0.7214,92.851
2020-08-17,380.79,5.511,1.3266,0.7171,93.096
2020-08-14,377.11,5.4229,1.3223,0.7149,93.335
2020-08-13,371.16,5.3692,1.3247,0.7162,93.443
2020-08-12,374.53,5.4329,1.3301,0.7143,93.628
2020-08-11,373.57,5.382,1.3351,0.715,93.582
2020-08-10,380.78,5.4808,1.3384,0.7157,93.435
2020-08-07,383.94,5.4383,1.3307,0.7236,92.788
2020-08-06,386.89,5.3324,1.3266,0.7192,92.868
2020-08-05,389.33,5.2927,1.3319,0.716,93.382
2020-08-04,397.33,5.2894,1.3391,0.7124,93.542
2020-08-03,397.12,5.3225,1.3412,0.7143,93.349
2020-07-31,401.38,5.2225,1.3423,0.7195,93.021
2020-07-30,408.58,5.1552,1.334,0.7188,93.453
2020-07-29,405.09,5.1705,1.338,0.7158,93.696
2020-07-28,408.87,5.1576,1.3356,0.7149,93.668
2020-07-27,404.57,5.1505,1.3415,0.7105,94.435
2020-07-24,408.52,5.2319,1.341,0.7098,94.692
2020-07-23,405.15,5.2138,1.3417,0.714,94.988
2020-07-22,403.68,5.1178,1.3459,0.7128,95.117
2020-07-21,407.21,5.1737,1.3535,0.7016,95.832
2020-07-20,414.11,5.3323,1.358,0.6996,95.942
2020-07-17,418.54,5.3863,1.3574,0.6971,96.346
2020-07-16,422.82,5.3323,1.3509,0.7008,96.081
2020-07-15,422.46,5.372,1.3615,0.6975,96.259
2020-07-14,428.47,5.3672,1.3609,0.694,96.464
2020-07-13,423.51,5.4047,1.3592,0.695,96.652
2020-07-10,425.86,5.3258,1.3586,0.6964,96.7
2020-07-09,425.72,5.3444,1.3512,0.6982,96.428
2020-07-08,419.41,5.3396,1.3603,0.6947,96.881
2020-07-07,418.76,5.3821,1.3539,0.6973,96.725
2020-07-06,413.69,5.3553,1.3547,0.6939,97.172
2020-07-03,421.41,5.314,1.3564,0.6924,97.317
2020-07-02,421.41,5.3618,1.3587,0.6915,97.196
2020-07-01,426.25,5.3198,1.3576,0.6903,97.391
2020-06-30,433.31,5.4659,1.3659,0.6866,97.536
2020-06-29,434.92,5.4048,1.3688,0.6865,97.433
2020-06-26,433.43,5.4844,1.3638,0.6887,97.429
2020-06-25,430.67,5.3624,1.3638,0.6869,97.148
2020-06-24,428.53,5.3465,1.355,0.693,96.646
2020-06-23,422.52,5.1544,1.3522,0.6908,97.039
2020-06-22,424.84,5.2571,1.3607,0.6835,97.623
2020-06-19,426.42,5.3119,1.36,0.6852,97.421
2020-06-18,430.39,5.3778,1.3565,0.6884,97.158
2020-06-17,426.08,5.2298,1.3541,0.6889,96.958
2020-06-16,424.2,5.242,1.3572,0.6919,96.706
2020-06-15,443.69,5.1562,1.3589,0.6866,97.319
2020-06-12,438.25,5.0504,1.3629,0.6855,96.733
2020-06-11,440.18,4.973,1.3412,0.6998,95.959
2020-06-10,423.13,4.973,1.3417,0.6961,96.324
2020-06-09,415.31,4.9004,1.3382,0.7021,96.618
2020-06-08,409.73,4.8218,1.3422,0.6969,96.937
2020-06-05,415.04,4.9609,1.35,0.6942,96.677
2020-06-04,427.36,5.1184,1.3495,0.6921,97.276
2020-06-03,430.83,5.0651,1.3519,0.6897,97.673
2020-06-02,449.65,5.2035,1.3573,0.6798,97.83
2020-06-01,457.68,5.3649,1.378,0.6667,98.344
2020-05-29,463.4,5.337,1.3763,0.6637,98.383
2020-05-28,475.51,5.4094,1.3752,0.6622,99.062
2020-05-27,476.69,5.2739,1.3777,0.6653,98.908
2020-05-26,474.39,5.3477,1.3985,0.6545,99.863
2020-05-25,485.66,5.4454,1.3996,0.6537,99.863
2020-05-22,485.66,5.5334,1.3955,0.6565,99.37
2020-05-21,479.78,5.5521,1.3901,0.6597,99.124
2020-05-20,489.83,5.6929,1.3944,0.6537,99.371
2020-05-19,502.76,5.7552,1.3937,0.6524,99.665
2020-05-18,506.67,5.7157,1.4109,0.6413,100.402
2020-05-15,530.37,5.8552,1.405,0.6462,100.466
2020-05-14,541.46,5.8141,1.4101,0.6455,100.242
2020-05-13,532.59,5.8858,1.4078,0.6471,99.933
2020-05-12,523.51,5.886,1.4007,0.6489,100.236
2020-05-11,524.03,5.8193,1.3927,0.6532,99.734
2020-05-08,534.74,5.7309,1.3973,0.6495,99.889
2020-05-07,545.21,5.8357,1.4146,0.64,100.091
2020-05-06,542.5,5.7158,1.4049,0.6431,99.709
2020-05-05,545.57,5.5786,1.4087,0.6428,99.484
2020-05-04,558.28,5.5437,1.4089,0.6418,99.079
2020-05-01,556.4,5.4858,1.3945,0.6512,99.016
2020-04-30,557.28,5.4858,1.3881,0.6557,99.565
2020-04-29,578.02,5.3366,1.3998,0.6491,99.865
2020-04-28,591.02,5.5031,1.4034,0.6465,100.041
2020-04-27,587.28,5.6525,1.4103,0.6371,100.38
2020-04-24,590.1,5.5869,1.4073,0.637,100.433
2020-04-23,586.81,5.5363,1.4161,0.6323,100.388
2020-04-22,587.29,5.4573,1.4211,0.628,100.258
2020-04-21,588.47,5.3162,1.4149,0.6336,99.955
2020-04-20,571.36,5.3162,1.4001,0.6366,99.782
2020-04-17,562.98,5.2344,1.4082,0.6327,100.025
2020-04-16,571.78,5.2362,1.4115,0.6319,99.461
2020-04-15,566.41,5.2393,1.3883,0.6442,98.887
2020-04-14,543.67,5.1635,1.3904,0.6382,99.348
2020-04-13,552.47,5.199,1.3956,0.6349,99.482
2020-04-10,561.65,5.109,1.3976,0.634,99.517
2020-04-09,561.65,5.109,1.4013,0.623,100.119
2020-04-08,581.77,5.1221,1.3993,0.617,99.9
2020-04-07,579.99,5.2241,1.4111,0.6088,100.685
2020-04-06,593.01,5.2821,1.4205,0.5997,100.576
2020-04-03,596.76,5.3509,1.4138,0.6061,100.18
2020-04-02,598.25,5.2542,1.4191,0.6071,99.673
2020-04-01,598.78,5.2526,1.4062,0.6131,99.048
2020-03-31,577.01,5.2053,1.4166,0.6174,99.181
2020-03-30,590.7,5.1943,1.3985,0.6168,98.365
2020-03-27,572.91,5.1002,1.402,0.6063,99.352
2020-03-26,551.07,5.0247,1.4191,0.5959,101.05
2020-03-25,576.63,5.0368,1.4462,0.5958,102.039
2020-03-24,630.03,5.0976,1.4494,0.5838,102.487
2020-03-23,661.75,5.1416,1.4366,0.5785,102.817
2020-03-20,618.38,5.0631,1.4511,0.5743,102.755
2020-03-19,634.39,5.0947,1.4504,0.5773,101.16
2020-03-18,587.16,5.1089,1.4202,0.6,99.575
2020-03-17,532.29,5.0077,1.4016,0.6117,98.069
2020-03-16,542.79,5.0013,1.3806,0.6203,98.749
2020-03-13,484.96,4.8403,1.3925,0.6236,97.468
2020-03-12,498.11,4.7944,1.3779,0.6484,96.507
2020-03-11,443.94,4.8198,1.3727,0.6505,96.414
2020-03-10,425.58,4.6427,1.3702,0.6587,94.895
2020-03-09,445.07,4.7224,1.3418,0.6636,95.951
2020-03-06,379.2,4.6269,1.3411,0.6614,96.82
2020-03-05,348.15,4.6165,1.3385,0.6627,97.336
2020-03-04,335.29,4.5792,1.338,0.6584,97.153
2020-03-03,346.01,4.5077,1.3328,0.6537,97.36
2020-03-02,348.51,4.4754,1.3407,0.6515,98.132
2020-02-28,353.58,4.472,1.3391,0.6569,98.508
2020-02-27,326.47,4.4911,1.3333,0.6544,98.996
2020-02-26,314.51,4.4496,1.3279,0.6604,98.968
2020-02-25,310.01,4.3885,1.3293,0.6605,99.359
2020-02-24,302.25,4.3885,1.3225,0.6627,99.262
2020-02-21,292.72,4.3885,1.3259,0.6615,99.865
2020-02-20,290.66,4.3899,1.3221,0.6675,99.705
2020-02-19,286.77,4.3639,1.326,0.6686,99.44
2020-02-18,288.91,4.3622,1.3235,0.6714,99.003
2020-02-17,287.08,4.328,1.3252,0.6714,99.124
2020-02-14,287.08,4.2921,1.3267,0.6719,99.067
2020-02-13,287.37,4.3537,1.325,0.6737,99.049
2020-02-12,286.4,4.3533,1.3286,0.6714,98.721
2020-02-11,291.71,4.3308,1.3317,0.6687,98.832
2020-02-10,295.55,4.3262,1.3308,0.6673,98.684
2020-02-07,291.78,4.3176,1.3284,0.673,98.496
2020-02-06,287.01,4.2824,1.3282,0.6746,98.301
2020-02-05,286.91,4.2412,1.3277,0.6739,97.961
2020-02-04,291.92,4.2543,1.3286,0.6692,97.8
2020-02-03,297.95,4.2466,1.3237,0.6692,97.39
2020-01-31,299.36,4.2828,1.3209,0.6722,97.867
2020-01-30,296.68,4.2475,1.3199,0.6754,97.991
2020-01-29,296.27,4.226,1.3155,0.6762,98.018
2020-01-28,294.97,4.1901,1.3194,0.6761,97.956
2020-01-27,302.21,4.2108,1.3143,0.6832,97.853
2020-01-24,292.05,4.1821,1.3127,0.6847,97.693
2020-01-23,287.06,4.1699,1.3135,0.6844,97.527
2020-01-22,282.74,4.1809,1.307,0.6845,97.531
2020-01-21,283.15,4.2137,1.3048,0.6873,97.606
2020-01-20,277.63,4.1872,1.3066,0.6879,97.606
2020-01-17,277.63,4.1616,1.3042,0.6898,97.32
2020-01-16,278.92,4.1843,1.3042,0.6902,97.229
2020-01-15,282.57,4.1831,1.3062,0.6902,97.372
2020-01-14,283.45,4.1314,1.3057,0.6904,97.345
2020-01-13,281.25,4.1426,1.305,0.6901,97.356
2020-01-10,283.18,4.0979,1.3056,0.6858,97.45
2020-01-09,282.01,4.0891,1.3039,0.6866,97.299
2020-01-08,278.78,4.0638,1.3004,0.687,97.005
2020-01-07,284.29,4.0658,1.2965,0.694,96.671
